date,close
2024-11-18,22546.54
2024-11-19,22848.8
2024-11-20,22688.36
2024-11-21,22555.66
2024-11-22,22904.32
2024-11-25,22948.37
2024-11-26,22678.76
2024-11-27,22334.78
2024-11-28,22298.9
2024-11-29,22262.5
2024-12-02,22736.93
2024-12-03,23027.46
2024-12-04,23255.33
2024-12-05,23267.94
2024-12-06,23193.27
2024-12-09,23273.25
2024-12-10,23125.08
2024-12-11,22903.63
2024-12-12,23046.8
2024-12-13,23020.48
2024-12-16,23039.9
2024-12-17,23018.01
2024-12-18,23168.67
2024-12-19,22932.25
2024-12-20,22510.25
2024-12-23,23104.54
2024-12-24,23120.24
2024-12-25,23220.13
2024-12-26,23246.94
2024-12-27,23275.68
2024-12-30,23190.2
2024-12-31,23035.1
2025-01-02,22832.06
2025-01-03,22908.3
2025-01-06,23547.71
2025-01-07,23651.27
2025-01-08,23407.33
2025-01-09,23081.13
2025-01-10,23011.86
2025-01-13,22488.33
2025-01-14,22797.52
2025-01-15,22514.57
2025-01-16,23025.1
2025-01-17,23148.08
2025-01-20,23266.82
2025-01-21,23300.01
2025-01-22,23525.41
2025-02-03,22694.71
2025-02-04,22793.96
2025-02-05,23161.58
2025-02-06,23316.6
2025-02-07,23478.27
2025-02-10,23252.14
2025-02-11,23384.05
2025-02-12,23289.75
2025-02-13,23399.41
2025-02-14,23152.61
2025-02-17,23505.33
2025-02-18,23666.11
2025-02-19,23604.08
2025-02-20,23487.46
2025-02-21,23730.25
2025-02-24,23565.31
2025-02-25,23285.72
2025-02-26,23402.55
2025-02-27,23053.18
2025-03-03,22756.25
2025-03-04,22596.88
2025-03-05,22871.9
2025-03-06,22715.43
2025-03-07,22576.07
2025-03-10,22459.15
2025-03-11,22071.09
2025-03-12,22278.36
2025-03-13,21961.68
2025-03-14,21968.05
2025-03-17,22118.63
2025-03-18,22271.67
2025-03-19,21960.83
2025-03-20,22377.26
2025-03-21,22209.1
2025-03-24,22106.64
2025-03-25,22273.19
2025-03-26,22260.29
2025-03-27,21951.76
2025-03-28,21602.89
2025-03-31,20695.9
2025-04-01,21280.17
2025-04-02,21298.22
2025-04-07,19232.35
2025-04-08,18459.95
2025-04-09,17391.76
2025-04-10,19000.03
2025-04-11,19528.77
2025-04-14,19513.09
2025-04-15,19857.67
2025-04-16,19468.0
2025-04-17,19338.73
2025-04-18,19395.03
2025-04-21,19106.2
2025-04-22,18793.43
2025-04-23,19639.14
2025-04-24,19478.81
2025-04-25,19872.73
2025-04-28,20034.41
2025-04-29,20232.63
2025-04-30,20235.03
2025-05-02,20787.64
2025-05-05,20532.99
2025-05-06,20522.59
2025-05-07,20546.49
2025-05-08,20543.4
2025-05-09,20915.04
2025-05-12,21129.54
2025-05-13,21330.14
2025-05-14,21782.87
2025-05-15,21730.25
2025-05-16,21843.69
2025-05-19,21523.83
2025-05-20,21526.03
2025-05-21,21803.91
2025-05-22,21670.96
2025-05-23,21652.24
2025-05-26,21536.57
2025-05-27,21336.54
2025-05-28,21357.72
2025-05-29,21347.3
2025-06-02,21002.71
2025-06-03,21126.93
2025-06-04,21618.09
2025-06-05,21674.43
2025-06-06,21660.66
2025-06-09,21790.29
2025-06-10,22242.14
2025-06-11,22470.1
2025-06-12,22287.82
2025-06-13,22072.95
2025-06-16,22049.9
2025-06-17,22211.59
2025-06-18,22356.73
2025-06-19,22003.5
2025-06-20,22045.74
2025-06-23,21732.02
2025-06-24,22188.76
2025-06-25,22430.61
2025-06-26,22492.34
2025-06-27,22580.08
2025-06-30,22256.02
